f,1,2,3,4,5,6,s
x,Context,A,gravity,Cream,Fold,Head,101
1,Raw,Quantum,leap,Cylinder,Fuel,Gas,127
2,Filter,Trim,linear,Height,Home,Build,122
3,Data,In,circle,Smoke,Tour,Dynamic,111
4,Grid,Pressure,release,Arrow,Work,Structure,154
5,Information,Tag,target,Project,Medical,Tip,140
6,Paragraph,Asterisk,sector,Bit,Shade,Device,131
7,Socket,Ratio,format,Letter,Cup,Count,124
8,Tape,Trace,new,Grain,Packet,Energy,109
9,Channel,Package,step,Date,File,Machine,127
10,Standard,Dimension,axis,Time,Piece,Straight,137
11,Diary,Object,move,Write,Mark,Touch,112
12,Code,By,circuit,Read,Deliver,Term,99
13,Message,Symbol,adapt,Year,Sample,Set,129
14,Property,Multi,platform,Number,Value,Instrument,180
15,Card,Identity,sequence,Order,Dial,Clock,131
16,Frame,Area,curve,Media,Link,Star,102
17,Hash,Pool,generate,Favourite,Cover,Belt,130
18,Tier,Site,priority,Union,Switch,Panel,131
19,Sort,Root,drive,Via,Transparent,Thread,120
20,Space,Fine,gear,Enter,Rule,Pair,100
21,Register,Account,dictionary,Jar,Custom,Boundary,164
22,Spell,Element,tune,Integer,Play,Ready,136
23,View,Room,pass,Quote,Routine,Index,115
24,Span,Estimate,coil,Zoom,Condition,Plate,141
25,Bracket,Temporary,block,Key,Unit,Check,131
26,Grade,List,interest,X,Layer,Band,100
s,561,575,574,486,569,538,3303
t,584,578,598,504,589,551,3404
@,Category,Library,board,Group,Class,Construct,157
